name_canon,name_raw,births
AAVYAN,AAVYAN,2
AAYAAN,AAYAAN,1
AAYAANSH,AAYAANSH,1
AAYAN,AAYAN,14
AAYANA,AAYANA,1
AAYANSH,AAYANSH,5
AAYAT,AAYAT,1
AAYATI,AAYATI,1
AAYCIN,AAYCIN,1
AAYDEN,AAYDEN,1
AAYDIN,AAYDIN,1
AAYIRESS,AAYIRESS,1
AAYLA,AAYLA,1
AAYLIAH,AAYLIAH,1
AAYRA,AAYRA,4
AAYUSH,AAYUSH,1
AAZIAH,AAZIAH,1
AAZIL,AAZIL,1
ABA,ABA,1
ABACAR,ABACAR,1
ABAGAIL,ABAGAIL,1
ABAID,ABAID,1
ABANTIKA,ABANTIKA,1
ABAS,ABAS,1
ABASEEN,ABASEEN,1
ABAVANA,ABAVANA,1
ABBAS,ABBAS,3
ABBASIN,ABBASIN,1
ABBEY,ABBEY,2
ABBIE,ABBIE,6
ABBIGAIL,ABBIGAIL,2
ABBOTT,ABBOTT,2
ABBY,ABBY,23
ABBY BELLA,ABBY BELLA,1
ABD ARRAQEEB,ABD ARRAQEEB,1
ABDALA,ABDALA,1
ABDALLA,ABDALLA,1
ABDALLAH,ABDALLAH,1
ABDEL,ABDEL,2
ABDEL KAREEM,ABDEL KAREEM,1
ABDEL-RAHMAN,ABDEL-RAHMAN,1
ABDELAH,ABDELAH,1
ABDELAZIZ,ABDELAZIZ,1
ABDELKARIM,ABDELKARIM,1
ABDI,ABDI,1
ABDIAS,ABDIAS,3
ABDIAS,ABDÍAS,1
ABDIEL,ABDIEL,22
ABDIRAHMAAN,ABDIRAHMAAN,1
ABDOU,ABDOU,1
ABDOULAYE,ABDOULAYE,1
ABDUL,ABDUL,7
ABDUL AHAD,ABDUL AHAD,2
ABDUL HAADI,ABDUL HAADI,1
ABDUL HADI,ABDUL HADI,1
ABDUL MATEEN,ABDUL MATEEN,1
ABDUL MOIZ,ABDUL MOIZ,1
ABDUL MUQTADIR,ABDUL MUQTADIR,1
ABDUL WAHAB,ABDUL WAHAB,1
ABDUL-JALIL,ABDUL-JALIL,1
ABDULAZIZ,ABDULAZIZ,2
ABDULLAH,ABDULLAH,17
ABDULRAHMAN,ABDULRAHMAN,4
ABDULRAZAK,ABDULRAZAK,1
ABDULSALAM,ABDULSALAM,1
ABDUMALIK,ABDUMALIK,1
ABEER,ABEER,4
ABEERA,ABEERA,1
ABEEZAR,ABEEZAR,1
ABEL,ABEL,89
ABELARDO,ABELARDO,3
ABELINO,ABELINO,1
ABELLA,ABELLA,2
ABENEZER,ABENEZER,2
ABHAY,ABHAY,10
ABHAY RAM,ABHAY RAM,1
ABHAYA,ABHAYA,2
ABHAYVEER,ABHAYVEER,1
ABHERDEEN,ABHERDEEN,1
ABHIGNA,ABHIGNA,1
ABHIGNA SREE,ABHIGNA SREE,1
ABHIGNYAN,ABHIGNYAN,1
ABHIK REDDY,ABHIK REDDY,1
ABHIMANYU,ABHIMANYU,3
