year,sex,name,au_rank,tx_rank,rank_delta,au_n
2020,MALE,Henry,6,36,30,70
2021,MALE,Henry,4,34,30,79
2022,MALE,Ian,20,50,30,55
2022,MALE,Owen,48,78,30,35
2022,FEMALE,Stella,29,58,29,36
2022,MALE,Henry,6,35,29,74
2022,MALE,Jackson,33,62,29,45
2024,MALE,Logan,42,71,29,41
2018,FEMALE,Emilia,24,52,28,36
2021,MALE,Kai,61,89,28,33
2017,MALE,Owen,44,71,27,42
2020,MALE,Jackson,23,50,27,47
2021,FEMALE,Lily,21,48,27,41
2023,FEMALE,Naomi,23,50,27,36
2024,MALE,Leo,24,51,27,54
2018,FEMALE,Eliana,27,53,26,34
2018,MALE,John,9,35,26,62
2023,MALE,Luca,14,40,26,58
2017,MALE,Grayson,31,56,25,49
2018,MALE,Diego,37,62,25,41
2022,MALE,Leo,29,54,25,47
2024,FEMALE,Lucy,35,60,25,35
2024,MALE,Theodore,5,30,25,91
2017,MALE,Thomas,42,66,24,43
2020,MALE,Asher,28,52,24,44
2021,MALE,Robert,64,88,24,31
2022,FEMALE,Grace,29,53,24,36
2022,MALE,Cooper,51,75,24,34
2023,MALE,Henry,9,33,24,65
2023,MALE,Roman,53,77,24,34
2020,MALE,Lincoln,49,72,23,34
2022,MALE,Thiago,48,71,23,35
2023,MALE,Nolan,57,80,23,33
2023,MALE,Emilio,68,91,23,30
2024,MALE,Hudson,29,52,23,50
2018,MALE,Owen,50,72,22,37
2019,MALE,Grayson,32,54,22,44
2020,FEMALE,Eleanor,16,38,22,42
2022,MALE,Thomas,51,73,22,34
2023,MALE,Asher,22,44,22,53
2024,FEMALE,Naomi,23,45,22,40
2019,MALE,John,13,34,21,65
2020,FEMALE,Lily,26,47,21,35
2021,MALE,Logan,19,40,21,53
2023,FEMALE,Lily,15,36,21,47
2024,FEMALE,Ella,25,46,21,38
2024,MALE,Thomas,46,67,21,40
2017,MALE,John,21,41,20,56
2019,MALE,Wyatt,30,50,20,45
2019,MALE,Charles,55,75,20,34
2020,FEMALE,Violet,30,50,20,32
2021,FEMALE,Violet,24,44,20,36
2023,MALE,Kai,59,79,20,32
2024,FEMALE,Penelope,15,35,20,49
2024,MALE,Henry,9,29,20,70
2024,MALE,Luca,12,32,20,67
2017,MALE,Anthony,15,34,19,61
2019,FEMALE,Violet,24,43,19,38
2019,MALE,Diego,44,63,19,39
2023,MALE,Joseph,31,50,19,45
2017,MALE,Asher,52,70,18,39
2018,FEMALE,Eleanor,33,51,18,31
2018,MALE,Oliver,3,21,18,78
2018,MALE,Jonathan,30,48,18,44
2019,FEMALE,Emilia,20,38,18,42
2021,MALE,Thomas,55,73,18,34
2024,FEMALE,Valeria,46,64,18,31
2017,FEMALE,Ellie,32,49,17,34
2019,FEMALE,Eleanor,20,37,17,42
2019,MALE,Lincoln,52,69,17,35
2020,FEMALE,Zoe,14,31,17,43
2022,MALE,Hudson,42,59,17,39
2023,FEMALE,Ella,37,54,17,30
2023,MALE,Ian,36,53,17,42
2023,MALE,Thomas,57,74,17,33
2017,MALE,Oliver,6,22,16,75
2017,MALE,Wyatt,30,46,16,50
2018,MALE,Lucas,12,28,16,60
2018,MALE,Christopher,17,33,16,56
2018,MALE,Leo,60,76,16,33
2019,MALE,Jackson,28,44,16,46
2019,MALE,Caleb,37,53,16,42
2020,MALE,Dylan,11,27,16,64
2020,MALE,John,14,30,16,60
2022,MALE,Dylan,12,28,16,65
2022,MALE,Roman,60,76,16,32
2023,FEMALE,Chloe,23,39,16,36
2023,MALE,Enzo,68,84,16,30
2017,FEMALE,Hazel,35,50,15,30
2018,MALE,Elias,43,58,15,39
2019,MALE,Eli,55,70,15,34
2020,MALE,Elias,23,38,15,47
2021,MALE,Axel,37,52,15,42
2021,MALE,Hudson,44,59,15,38
2022,MALE,William,4,19,15,83
2023,FEMALE,Eleanor,18,33,15,42
2023,MALE,Thiago,26,41,15,50
2017,FEMALE,Ella,18,32,14,45
2017,FEMALE,Elena,27,41,14,36
2017,MALE,William,5,19,14,80
2017,MALE,Axel,49,63,14,40
2018,FEMALE,Zoe,14,28,14,48
2018,MALE,Jackson,28,42,14,45
2019,MALE,Dylan,17,31,14,58
2020,FEMALE,Everly,28,42,14,33
2021,FEMALE,Eleanor,10,24,14,56
2021,MALE,Jonathan,55,69,14,34
2022,MALE,John,22,36,14,53
2023,FEMALE,Avery,13,27,14,49
2023,MALE,Diego,50,64,14,35
2024,MALE,Enzo,64,78,14,32
2018,MALE,Wyatt,30,43,13,44
2018,MALE,Thomas,62,75,13,32
2021,MALE,William,3,16,13,81
2021,MALE,Diego,44,57,13,38
2022,FEMALE,Penelope,13,26,13,55
2022,FEMALE,Eleanor,18,31,13,49
2022,MALE,Diego,42,55,13,39
2023,MALE,Emiliano,59,72,13,32
2024,FEMALE,Mila,21,34,13,42
2024,MALE,John,15,28,13,65
2024,MALE,Mason,68,81,13,31
2017,MALE,James,1,13,12,104
2017,MALE,Benjamin,4,16,12,82
2017,MALE,Lincoln,56,68,12,36
2018,MALE,William,4,16,12,76
2019,MALE,Oliver,2,14,12,89
2020,MALE,Grayson,46,58,12,35
2021,MALE,Roman,64,76,12,31
2022,MALE,Kai,67,79,12,30
2024,MALE,William,9,21,12,70
2024,MALE,Ian,30,42,12,49
2018,FEMALE,Lily,31,42,11,33
2018,MALE,Benjamin,2,13,11,80
2018,MALE,Luke,11,22,11,61
2018,MALE,Grayson,40,51,11,40
2019,MALE,William,5,16,11,80
2019,MALE,James,7,18,11,77
2021,MALE,Andrew,51,62,11,36
2022,FEMALE,Zoe,13,24,11,55
2022,FEMALE,Chloe,21,32,11,40
2022,FEMALE,Violet,23,34,11,39
2022,MALE,Joseph,27,38,11,48
2023,FEMALE,Zoe,8,19,11,64
2023,MALE,Ethan,11,22,11,60
2023,MALE,Joshua,38,49,11,41
2024,FEMALE,Eleanor,16,27,11,46
2024,FEMALE,Ashley,47,58,11,30
2024,MALE,Asher,33,44,11,47
2018,FEMALE,Ella,19,29,10,42
2018,MALE,Samuel,17,27,10,56
2019,FEMALE,Zoe,16,26,10,46
2020,MALE,Joseph,31,41,10,43
2021,FEMALE,Zoe,19,29,10,42
2021,MALE,John,26,36,10,47
2022,FEMALE,Harper,19,29,10,45
2022,FEMALE,Emilia,26,36,10,38
2023,MALE,James,7,17,10,67
2024,FEMALE,Elena,9,19,10,58
2024,MALE,James,9,19,10,70
2024,MALE,Damian,52,62,10,36
2017,MALE,Levi,31,40,9,49
2019,FEMALE,Penelope,13,22,9,49
2019,FEMALE,Chloe,26,35,9,33
2019,MALE,Leo,64,73,9,31
2021,FEMALE,Penelope,13,22,9,51
2022,MALE,Samuel,15,24,9,59
2022,MALE,Joshua,51,60,9,34
2023,FEMALE,Penelope,20,29,9,39
2024,MALE,Anthony,32,41,9,48
2017,FEMALE,Samantha,34,42,8,33
2017,MALE,Isaac,22,30,8,55
2017,MALE,Gael,64,72,8,31
2018,FEMALE,Charlotte,5,13,8,65
2018,MALE,Joseph,33,41,8,43
2019,FEMALE,Charlotte,4,12,8,75
2019,FEMALE,Hannah,24,32,8,38
2019,MALE,Asher,59,67,8,32
2020,FEMALE,Mila,12,20,8,45
2020,FEMALE,Ella,17,25,8,41
2020,FEMALE,Emilia,27,35,8,34
2020,FEMALE,Grace,36,44,8,30
2020,MALE,Lucas,12,20,8,62
2020,MALE,Logan,31,39,8,43
2021,FEMALE,Ximena,34,42,8,30
2022,FEMALE,Mila,10,18,8,63
2022,FEMALE,Lily,36,44,8,32
2022,MALE,Anthony,31,39,8,46
2024,FEMALE,Lily,20,28,8,43
2017,FEMALE,Evelyn,5,12,7,77
2017,MALE,Luis,44,51,7,42
2018,FEMALE,Evelyn,3,10,7,76
2019,FEMALE,Ella,17,24,7,45
2019,FEMALE,Hazel,35,42,7,30
2019,MALE,Gael,59,66,7,32
2021,FEMALE,Emilia,27,34,7,34
2021,MALE,Caleb,48,55,7,37
2022,MALE,Luca,35,42,7,44
2024,FEMALE,Violet,19,26,7,44
2017,FEMALE,Penelope,15,21,6,51
2017,FEMALE,Zoe,19,25,6,43
2017,FEMALE,Luna,27,33,6,36
2017,MALE,Samuel,19,25,6,58
2018,MALE,Joshua,33,39,6,43
2018,MALE,Ian,47,53,6,38
2018,MALE,Ryan,57,63,6,34
2018,MALE,Asher,60,66,6,33
2019,MALE,Ian,52,58,6,35
2020,FEMALE,Evelyn,6,12,6,67
2020,FEMALE,Chloe,28,34,6,33
2020,MALE,William,8,14,6,66
2021,FEMALE,Mila,19,25,6,42
2021,MALE,Asher,40,46,6,41
2022,MALE,James,5,11,6,78
2023,FEMALE,Aurora,22,28,6,37
2023,MALE,Caleb,39,45,6,40
2023,MALE,Axel,41,47,6,39
2023,MALE,Christopher,45,51,6,37
2024,FEMALE,Emily,10,16,6,56
2024,MALE,Maverick,55,61,6,34
2017,FEMALE,Charlotte,8,13,5,59
2017,FEMALE,Harper,13,18,5,53
2017,FEMALE,Layla,22,27,5,40
2017,MALE,Daniel,3,8,5,83
2018,FEMALE,Elizabeth,10,15,5,54
2018,FEMALE,Mila,12,17,5,53
2018,MALE,Isaiah,47,52,5,38
2018,MALE,Ezra,55,60,5,35
2019,FEMALE,Ellie,31,36,5,31
2019,MALE,Lucas,14,19,5,64
2019,MALE,Isaac,20,25,5,54
2020,FEMALE,Aria,25,30,5,36
2020,MALE,James,8,13,5,66
2021,FEMALE,Harper,16,21,5,47
2021,MALE,James,6,11,5,71
2022,FEMALE,Sofia,3,8,5,82
2022,MALE,Alexander,10,15,5,67
2023,MALE,William,18,23,5,56
2023,MALE,Grayson,64,69,5,31
2024,MALE,Oliver,2,7,5,101
2024,MALE,Dylan,8,13,5,75
2024,MALE,Caleb,41,46,5,43
2017,FEMALE,Elizabeth,11,15,4,56
2017,MALE,Alexander,8,12,4,73
2017,MALE,Luke,17,21,4,59
2018,FEMALE,Amelia,7,11,4,63
2018,FEMALE,Emily,10,14,4,54
2018,FEMALE,Penelope,21,25,4,40
2018,MALE,Levi,26,30,4,49
2018,MALE,Andrew,43,47,4,39
2018,MALE,Gael,57,61,4,34
2019,FEMALE,Evelyn,7,11,4,70
2019,FEMALE,Abigail,10,14,4,56
2019,FEMALE,Mila,19,23,4,43
2019,MALE,Benjamin,8,12,4,71
2020,FEMALE,Charlotte,6,10,4,67
2020,MALE,Benjamin,5,9,4,77
2020,MALE,Diego,57,61,4,31
2021,FEMALE,Sofia,6,10,4,63
2021,FEMALE,Elizabeth,11,15,4,53
2021,FEMALE,Ella,27,31,4,34
2021,FEMALE,Chloe,32,36,4,31
2021,MALE,Adrian,33,37,4,45
2022,FEMALE,Charlotte,7,11,4,72
2022,FEMALE,Evelyn,8,12,4,71
2022,FEMALE,Genesis,29,33,4,36
2023,FEMALE,Sofia,3,7,4,81
2023,MALE,Aaron,48,52,4,36
2024,FEMALE,Scarlett,21,25,4,42
2024,FEMALE,Harper,29,33,4,37
2024,FEMALE,Maria,45,49,4,32
2024,MALE,Andrew,68,72,4,31
2017,MALE,Joshua,28,31,3,52
2018,FEMALE,Luna,18,21,3,44
2018,MALE,Alexander,7,10,3,66
2018,MALE,Dylan,16,19,3,58
2018,MALE,Logan,21,24,3,54
2019,FEMALE,Allison,31,34,3,31
2020,FEMALE,Scarlett,20,23,3,40
2020,MALE,Samuel,18,21,3,51
2020,MALE,Ezra,26,29,3,46
2020,MALE,Christopher,39,42,3,38
2021,FEMALE,Evelyn,9,12,3,58
2021,MALE,Luke,20,23,3,51
2022,FEMALE,Madison,37,40,3,31
2022,MALE,Benjamin,9,12,3,69
2022,MALE,Lucas,13,16,3,64
2023,FEMALE,Mia,1,4,3,95
2023,FEMALE,Emilia,31,34,3,33
2023,MALE,Oliver,4,7,3,83
2024,FEMALE,Charlotte,6,9,3,66
2024,FEMALE,Elizabeth,12,15,3,55
2024,FEMALE,Emilia,29,32,3,37
2024,MALE,Joshua,52,55,3,36
2017,FEMALE,Olivia,3,5,2,84
2017,MALE,Joseph,31,33,2,49
