year,sex,name_canon,n,name_display
2017,FEMALE,ARACELY,2,Aracely
2017,FEMALE,ARALYN,1,Aralyn
2017,FEMALE,ARAMIE,1,Aramie
2017,FEMALE,ARANTZA,1,Arantza
2017,FEMALE,ARANZA,6,Aranza
2017,FEMALE,ARAXIE,1,Araxie
2017,FEMALE,ARBOR,1,Arbor
2017,FEMALE,ARDELIA,1,Ardelia
2017,FEMALE,ARDYN,1,Ardyn
2017,FEMALE,AREESHA,1,Areesha
2017,FEMALE,ARELI,1,Areli
2017,FEMALE,ARELY,2,Arely
2017,FEMALE,ARFA,1,Arfa
2017,FEMALE,ARIA,35,Aria
2017,FEMALE,ARIAH,3,Ariah
2017,FEMALE,ARIAM,1,Ariam
2017,FEMALE,ARIANA,12,Ariana
2017,FEMALE,ARIANA JO,1,Ariana Jo
2017,FEMALE,ARIANNA,16,Arianna
2017,FEMALE,ARIANY,1,Ariany
2017,FEMALE,ARIBELLA,1,Aribella
2017,FEMALE,ARIEANA,1,Arieana
2017,FEMALE,ARIEL,12,Ariel
2017,FEMALE,ARIELENA,1,Arielena
2017,FEMALE,ARIELLA,3,Ariella
2017,FEMALE,ARIELLE,2,Arielle
2017,FEMALE,ARIETTA,1,Arietta
2017,FEMALE,ARIKA,2,Arika
2017,FEMALE,ARISA,1,Arisa
2017,FEMALE,ARISHA,1,Arisha
2017,FEMALE,ARISSA,1,Arissa
2017,FEMALE,ARITZEL,1,Aritzel
2017,FEMALE,ARIVA,1,Ariva
2017,FEMALE,ARIYA,1,Ariya
2017,FEMALE,ARIYAH,1,Ariyah
2017,FEMALE,ARIYAN,1,Ariyan
2017,FEMALE,ARKISHA MAISIE,1,Arkisha Maisie
2017,FEMALE,ARLENE,1,Arlene
2017,FEMALE,ARLET,2,Arlet
2017,FEMALE,ARLETH,2,Arleth
2017,FEMALE,ARLETTE,2,Arlette
2017,FEMALE,ARMANI,1,Armani
2017,FEMALE,ARREYON,1,Arreyon
2017,FEMALE,ARROW,1,Arrow
2017,FEMALE,ARTEMIS,3,Artemis
2017,FEMALE,ARWEN,1,Arwen
2017,FEMALE,ARYA,8,Arya
2017,FEMALE,ARYAH,2,Aryah
2017,FEMALE,ARYANA,2,Aryana
2017,FEMALE,ARYANNA,2,Aryanna
2017,FEMALE,ARYIAH,1,Aryiah
2017,FEMALE,ARYN,1,Aryn
2017,FEMALE,ASA,1,Asa
2017,FEMALE,ASANNAH,1,Asannah
2017,FEMALE,ASHA,1,Asha
2017,FEMALE,ASHAH,1,Ashah
2017,FEMALE,ASHARI,1,Ashari
2017,FEMALE,ASHBY,1,Ashby
2017,FEMALE,ASHLEY,20,Ashley
2017,FEMALE,ASHLY,1,Ashly
2017,FEMALE,ASHLYNNE,1,Ashlynne
2017,FEMALE,ASHMI,1,Ashmi
2017,FEMALE,ASHTEN,2,Ashten
2017,FEMALE,ASHTON,2,Ashton
2017,FEMALE,ASHTYN,1,Ashtyn
2017,FEMALE,ASHVI,1,Ashvi
2017,FEMALE,ASHWINI,1,Ashwini
2017,FEMALE,ASIA,3,Asia
2017,FEMALE,ASIA'LEE,1,Asia'Lee
2017,FEMALE,ASIL,1,Asil
2017,FEMALE,ASLYN,1,Aslyn
2017,FEMALE,ASPEN,7,Aspen
2017,FEMALE,ASSAL,1,Assal
2017,FEMALE,ASSINAT,1,Assinat
2017,FEMALE,ASTRID,1,Astrid
2017,FEMALE,ASYA,1,Asya
2017,FEMALE,ATHENA,14,Athena
2017,FEMALE,ATLEE,1,Atlee
2017,FEMALE,ATLEY,1,Atley
2017,FEMALE,ATZIRI,1,Atziri
2017,FEMALE,AUBREE,8,Aubree
2017,FEMALE,AUBREY,20,Aubrey
2017,FEMALE,AUBRIELLA,2,Aubriella
2017,FEMALE,AUBRIELLE,3,Aubrielle
2017,FEMALE,AUBRION,1,Aubrion
2017,FEMALE,AUBURN,1,Auburn
2017,FEMALE,AUDELIA,1,Audelia
2017,FEMALE,AUDRA,2,Audra
2017,FEMALE,AUDREY,26,Audrey
2017,FEMALE,AUDRIANNA,2,Audrianna
2017,FEMALE,AUDRINA,1,Audrina
2017,FEMALE,AUDRIYANA,1,Audriyana
2017,FEMALE,AUDYSSEY,1,Audyssey
2017,FEMALE,AUGUST,2,August
2017,FEMALE,AULANI,1,Aulani
2017,FEMALE,AUNYSTI,1,Aunysti
2017,FEMALE,AURELIA,3,Aurelia
2017,FEMALE,AURIE,1,Aurie
2017,FEMALE,AURORA,14,Aurora
2017,FEMALE,AUSTEN,2,Austen
2017,FEMALE,AUSTIN,1,Austin
2017,FEMALE,AUSTYN,1,Austyn
2017,FEMALE,AUTRY,1,Autry
2017,FEMALE,AUTUMN,10,Autumn
2017,FEMALE,AVA,73,Ava
2017,FEMALE,AVA CORALINE,1,Ava Coraline
2017,FEMALE,AVAE',1,Avae'
2017,FEMALE,AVAH,1,Avah
2017,FEMALE,AVALYN,3,Avalyn
2017,FEMALE,AVALYNN,2,Avalynn
2017,FEMALE,AVANI,1,Avani
2017,FEMALE,AVANTI,1,Avanti
2017,FEMALE,AVANYA,1,Avanya
2017,FEMALE,AVARY,1,Avary
2017,FEMALE,AVE,1,Ave
2017,FEMALE,AVELYN,1,Avelyn
2017,FEMALE,AVERI,1,Averi
2017,FEMALE,AVERIE,1,Averie
2017,FEMALE,AVERLEIGH,1,Averleigh
2017,FEMALE,AVERY,43,Avery
2017,FEMALE,AVIA,2,Avia
2017,FEMALE,AVIANAH,1,Avianah
2017,FEMALE,AVIANNA,4,Avianna
2017,FEMALE,AVIANNAH,3,Aviannah
2017,FEMALE,AVIE,1,Avie
2017,FEMALE,AVIERRE,1,Avierre
2017,FEMALE,AVIGAIL,2,Avigail
2017,FEMALE,AVILYN,1,Avilyn
2017,FEMALE,AVINNA,1,Avinna
